TimeStamp;Over240P3;Over240P2;Over240P1;1VStepsP3;1VStepsP2;1VStepsP1
2017-04-24 19:38:31.388;;;;Up;Up;Up
2017-04-24 19:38:40.843;;;;Up;Up;Up
2017-04-24 19:38:59.677;;;;Up;Up;Up
2017-04-24 19:46:22.447;;;;;Up;Up
2017-04-24 20:13:51.128;;;;Down;Down;Down
2017-04-24 23:56:07.829;;;;Down;Down;Down
2017-04-25 06:04:06.742;;;;Up;Up;Up
2017-04-25 08:06:23.322;;;;;Up;Up
2017-04-25 08:06:32.665;;;;Up;Up;Up
2017-04-25 08:14:41.815;;;;Up;Up;Up
2017-04-25 09:39:29.939;;;;Up;Up;Up
2017-04-25 13:41:36.917;;;;Down;Down;Down
2017-04-25 13:58:14.347;;;;Down;Down;Down
2017-04-25 20:12:31.248;;;;Down;Down;Down
2017-04-25 20:12:40.585;;;;Down;Down;Down
2017-04-25 21:09:35.765;;;;Up;Up;Up
2017-04-25 21:37:58.237;;;;Down;Down;Down
2017-04-25 21:52:33.151;;;;Up;Up;Up
2017-04-25 22:22:11.231;;;;Up;Up;Up
2017-04-26 00:17:52.509;;;;Down;Down;Down
2017-04-26 03:08:40.091;;;;Down;Down;Down
2017-04-26 05:48:23.472;;;;Up;Up;Up
2017-04-27 02:24:40.859;;;;Down;Down;Down
2017-04-27 05:43:24.116;;;;Up;Up;Up
2017-04-27 06:08:55.412;;;;Up;Up;Up
2017-04-27 06:33:48.765;;;;Down;Down;Down
2017-04-27 08:00:14.445;;;;Up;Up;Up
2017-04-27 09:52:23.611;;;;Up;Up;Up
2017-04-27 09:52:32.959;;;;;Up;Up
2017-04-27 16:42:25.296;;;;Down;Down;Down
2017-04-28 10:02:55.821;;;;Up;Up;Up
2017-04-28 14:58:12.370;;;;Down;Down;Down
2017-04-28 20:17:06.552;;;;Down;Down;Down
2017-04-28 20:44:51.824;;;;Up;Up;Up
2017-04-28 23:51:15.071;;;;Down;Down;Down
2017-04-28 23:51:24.414;;;;Down;Down;Down
